tagId,name
1,Adolescence/Childhood
2,Aging
3,All Female
4,Asian Interest
5,Based on Children's Books
6,Based on True Events
7,Betrayal
8,Black/African-American Interest
9,Business
10,Childhood
11,Christianity
12,Christmas
13,Current Events
14,Death
15,Disney Shows
16,Drag Performance
17,Economic/Financial Interest
18,Education
19,Fairy Tales
20,Feminism
21,Friendship
22,Illness/Health
23,Jewish Interest
24,Latinx Interest
25,LGBTQ+ Interest
26,Love
27,Marriage
28,Media
29,Memory
30,NYC
31,Parenting/Family
32,Politics
33,Religious Themes
34,Sexuality
35,Spectacle
36,Sports
37,Theatre for Young Audiences (TYA)
38,Theatre on the Edge
39,Theatre/Entertainment Industry
40,Tony Award Winners
41,War
42,Women's Interest
43,Dark
44,Mental Health
45,Western Setting
